company,yearFounded,link
Freiexchange,2016,https://www.coingecko.com/en/exchanges/freiexchange
Cryptomarket,2016,https://www.crunchbase.com/organization/cryptomkt
Coinroom,2016,https://coinroom.com/about
Btc-Alpha,2016,https://beta.companieshouse.gov.uk/company/09951778
Bitsane,2016,https://www.linkedin.com/company/bitsanecom/
Bit-Z,2016,https://medium.com/@Bit_z.com/bit-z-ecology-406636d0293d
Bancor-Network,2016,https://www.linkedin.com/company/bancor-foundation/
Waves-Dex,2016,https://wavesplatform.com/company
Topbtc,2016,https://en.bitcoinwiki.org/wiki/Exchange_TOPBTC.COM
Novaexchange,2016,https://www.google.com/search?ei=4bMqXN7mBZKyggeE55LQBA&q=nova+exchange+founded&oq=nova+exchange+founded&gs_l=psy-ab.3...2017.9761..10887...0.0..0.251.905.6j1j1......0....1..gws-wiz.......0j0i71j0i67j0i22i30j0i22i10i30j33i160.64P7Rv9B7_c
Mbaex,2016,https://www.linkedin.com/company/mbaex-online-pte-ltd/
Guldentrader,2016,https://www.google.com/search?ei=7WkqXPayOtOs0PEPtNaS2Aw&q=guldentrader+company+profile&oq=guldentrader+company+profile&gs_l=psy-ab.12..33i160.22321.35280..38213...1.0..0.107.1488.18j1....3..0....1..gws-wiz.......0i71j33i299.SpmSOVig-Ao
Dobitrade,2016,https://www.linkedin.com/company/dobitrade-exchange/about/
Heat-Wallet,2016,http://heatledger.net/index.php?topic=2.0
Rightbtc,2016,https://www.linkedin.com/company/rightbtc/
P2Pb2B,2016,https://suite.endole.co.uk/insight/company/10208220-p2pb2b-limited
Ezbtc,2016,https://www.linkedin.com/company/ezbtc-ca/
Exrates,2016,https://www.linkedin.com/company/exrates-exchange/
Coingi,2016,https://coingi.com/news/201609151145-the-launch-date-of-the-service-is-closer-than-you-think
Bitflyer,2016,https://bitflyer.com/en-us/aboutus
Isx,2016,https://isx.is
Exx,2016,https://www.bloomberg.com/research//stocks/private/snapshot.asp?privcapId=586344183
Coss,2016,https://en.m.bitcoinwiki.org/wiki/COSS
Coinrate,2016,https://companycheck.co.uk/company/10464449/COINRATE-LTD/companies-house-data
Bilaxy,2016,https://www.tokenmeister.com/directory/exchanges/bilaxy
Uex,2016,https://ca.linkedin.com/company/uex
Upbit,2017,https://en.wikipedia.org/wiki/Upbit
Tidebit,2017,https://www.crunchbase.com/organization/tidebit
Stex,2017,https://foundico.com/exchange/stex.html
Radar-Relay,2017,https://www.crunchbase.com/organization/radar-relay
Kyber-Network,2017,https://www.crunchbase.com/organization/kyber-network#section-overview
Koinex,2017,https://inc42.com/startups/after-launching-loop-koinex-explores-other-blockchain-solutions/
Idex,2017,https://idex.market/static/IDEX-Whitepaper-V0.7.5.pdf
Idax,2017,https://foundico.com/exchange/idax.html
Gate-Io,2017,https://neironix.io/exchanges/gate_io
Dragonex,2017,https://www.linkedin.com/company/dragonex-network/
Digifinex,2017,https://www.linkedin.com/company/digifinex/
Cryptobridge,2017,https://www.crunchbase.com/organization/cryptobridge
Cryptaldash,2017,https://www.linkedin.com/company/cryptaldash/
Crex24,2017,https://www.coingecko.com/en/exchanges/crex24
Coinnest,2017,https://www.coingecko.com/en/exchanges/coinnest
Coinex,2017,https://www.coinex.com/aboutus?lang=en_US
Cobinhood,2017,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=537207720
Chaoex,2017,https://globenewswire.com/news-release/2018/08/09/1549390/0/en/CHAOEX-First-Anniversary-New-Opportunity-Drives-Big-Progress.html
Braziliex,2017,https://www.coingecko.com/en/exchanges/braziliex
Bitmart,2017,https://www.linkedin.com/company/bitmart/
Bithesap,2017,https://www.linkedin.com/company/bithesap/
Bitcointrade,2017,https://www.linkedin.com/company/bitcointrade/
Bitbns,2017,https://www.linkedin.com/company/bitbnsinc/
Binance,2017,https://en.wikipedia.org/wiki/Binance
Bigone,2017,https://www.bestbitcoinexchange.io/exchanges/bigone-crypto-exchanges/
Bgogo,2017,https://www.linkedin.com/company/bgogo-crypto-exchange/
Aidos-Market,2017,https://www.coinspeaker.com/crypto-transparency-aidos-adk-in-first-of-its-kind-free-share-offer-to-exchanges/
Trade-Io,2017,https://www.crunchbase.com/organization/trade-io
Token-Store,2017,https://bitcoinist.com/icobox-token-store-launches-with-two-exclusive-ico-discounts/
Tidex,2017,https://blockonomi.com/tidex-review/
Switcheo,2017,https://www.crunchbase.com/organization/switcheo-network
Stronghold,2017,https://www.linkedin.com/company/strongholdxchg/
Rudex,2017,http://affgadgets.com/rudex
Otcbtc,2017,https://otcbtc.com/uploads/v3.0-en.pdf
Neraexpro,2017,https://www.coingecko.com/en/exchanges/neraex
Infinitycoin-Exchange,2017,https://web.infinity-economics.org/what-is-infinity-economics/
Idcm,2017,https://neironix.io/exchanges/idcm
Hotbit,2017,https://www.linkedin.com/company/hotbit-infotech-pvt-ltd/
Cryptonex,2017,https://www.linkedin.com/company/cryptonex/
Cryptology,2017,https://www.linkedin.com/company/cryptologyexchange/
Cointiger,2017,https://www.cointiger.com/en-us/#/index
Coinrail,2017,https://blog.enjincoin.io/coinspot-qryptos-cobinhood-and-coinrail-list-enjin-coin-9ff9f9a7e52e
Coinbe,2017,https://coinbe.net/
Bitebtc,2017,https://www.crunchbase.com/organization/bitebtc
Bcex,2017,https://www.crocosource.com/exchanges/bcex/
Zb-Com,2017,http://crypto.marketswiki.com/index.php?title=ZB.com
Latoken,2017,https://en.m.bitcoinwiki.org/wiki/LAToken
Graviex,2017,https://bitcointalk.org/index.php?topic=2352780.0
Sistemkoin,2017,https://www.coingecko.com/en/exchanges/sistemkoin
Ooobtc,2017,https://0oobtc.com.cutestat.com/
Oex,2017,https://www.linkedin.com/company/oex-international-pte-ltd/
Gopax,2017,http://www.koreaherald.com/view.php?ud=20180522000102
Gbx-Digital-Asset-Exchange,2017,https://www.linkedin.com/company/gibraltar-blockchain-exchange/
Cpdax,2017,https://www.cryptowisser.com/exchange/cpdax/
Coinzest,2017,https://www.whois.com/whois/coinzest.co.kr
Coinsuper,2017,https://www.crunchbase.com/organization/coinsuper#section-overview
Coinhub,2017,https://www.coinhub.io/en/about
Bibox,2017,https://www.google.com/search?rlz=1C1NDCM_enUS810US810&ei=9q4rXMKnIqyD5wKgs7TgDg&q=WHEN+WAS+Bibox+FOUNDED&oq=WHEN+WAS+Bibox+FOUNDED&gs_l=psy-ab.3...94859.96804..97113...0.0..0.91.173.2......0....1j2..gws-wiz.......0i71.DmdA3fi0Wfo
