company,yearsAgree,confidence,yearFounded,yearFounded2,link1,link2
Bitbox,0.0,2.0,2018.0,2012.0,https://bitcoinmagazine.com/articles/lines-cryptocurrency-exchange-bitbox-now-open-business/,https://en.bitcoinwiki.org/wiki/BitBox
Bisq,0.0,2.0,2009.0,2014.0,,https://www.forexbrokerz.com/brokers/bisq-review
Bibox,0.0,2.0,2012.0,2017.0,https://www.crunchbase.com/organization/bibox,https://www.google.com/search?rlz=1C1NDCM_enUS810US810&ei=9q4rXMKnIqyD5wKgs7TgDg&q=WHEN+WAS+Bibox+FOUNDED&oq=WHEN+WAS+Bibox+FOUNDED&gs_l=psy-ab.3...94859.96804..97113...0.0..0.91.173.2......0....1j2..gws-wiz.......0i71.DmdA3fi0Wfo
Bcoin-Sg,0.0,2.0,2018.0,2017.0,https://www.bcoin.sg/footer/aboutContent/aboutList,https://www.linkedin.com/company/bcoinsg/
Airswap,0.0,2.0,2018.0,2017.0,https://www.linkedin.com/company/fluidityio/,https://www.linkedin.com/company/airswap/
Yobit,0.0,1.0,2014.0,2009.0,https://en.m.bitcoinwiki.org/wiki/Yobit,https://yobit.net/en/faq/
Vebitcoin,0.0,1.0,2011.0,2017.0,https://icorating.com/exchanges/vebitcoin/,https://coinmarketcap.com/rankings/exchanges/
Tdax,0.0,1.0,2017.0,2.0,https://www.cryptocompare.com/exchanges/tdax/overview,https://twitter.com/search?q=TDAXOfficial
Stellar-Decentralized-Exchange,0.0,1.0,2014.0,0.0,https://en.wikipedia.org/wiki/Stellar_(payment_network),
Southxchange,0.0,1.0,2015.0,2012.0,https://www.coingecko.com/en/exchanges/south_xchange,https://www.southxchange.com/Home/About
Mercado-Bitcoin,0.0,1.0,2018.0,2017.0,https://status.mercadobitcoin.com.br/,https://www.mercadobitcoin.com.br/quem-somos
Koineks,0.0,1.0,2018.0,2017.0,https://koineks.com/,https://www.linkedin.com/company/koineks-teknoloji-a-s
Isx,0.0,1.0,2015.0,2013.0,https://ibf.is/,https://www.marketwatch.com/investing/stock/isx?countrycode=au
Iquant,0.0,1.0,2017.0,2015.0,https://www.coingecko.com/en/price_charts/iquant/usd,https://icobench.com/ico/iquant-chain
Exx,0.0,1.0,2016.0,2008.0,https://www.bloomberg.com/research//stocks/private/snapshot.asp?privcapId=586344183,https://www.exx.com/about
Ethfinex,0.0,1.0,2017.0,2019.0,https://www.linkedin.com/company/ethfinex/,https://coinmarketcap.com/api/?utm_source=cmc&utm_medium=banner&utm_campaign=house
Escodex,0.0,1.0,2018.0,2017.0,https://www.escodex.com/,https://www.escodex.com/
Dsx,0.0,1.0,2013.0,2014.0,https://www.crunchbase.com/organization/dsx-cloud#section-recent-news-activity,https://www.fxempire.com/crypto/exchange/dsx/review
Ddex,0.0,1.0,2017.0,2006.0,https://www.linkedin.com/company/ddex-io/,http://www.ppluk.com/About-Us/News/Driven-by-data-introducing-DDEX/
Coss,0.0,1.0,2018.0,2016.0,,https://en.m.bitcoinwiki.org/wiki/COSS
Coinrate,0.0,1.0,2016.0,2012.0,https://companycheck.co.uk/company/10464449/COINRATE-LTD/companies-house-data,
Coinfalcon,0.0,1.0,2018.0,2017.0,https://coinfalcon.com/about_us,https://www.linkedin.com/company/coinfalcon/
Coinbene,0.0,1.0,2017.0,2018.0,https://www.coingecko.com/en/exchanges/coinbene,https://www.linkedin.com/company/coinbenebrasil/
Cashierest,0.0,1.0,2009.0,2018.0,https://bitcoinexchangeguide.com/korean-crypto-exchange-cashierest-in-trouble-for-shady-price-pumping-for-token-issuance/,https://www.cashierest.com/News/Details/10000341
C2Cx,0.0,1.0,2015.0,1996.0,https://www.linkedin.com/company/c2cx/,
C-Patex,0.0,1.0,2018.0,2017.0,https://bitcointalk.org/index.php?topic=2436673.0,https://steemit.com/embercoin/@officialchartis/embercoin-now-listed-on-c-patex-emb-btc-and-emb-ltc
Btc-Markets,0.0,1.0,2013.0,2018.0,https://bitcoinexchangeguide.com/btc-markets/,https://support.btcmarkets.net/hc/en-us/categories/360000148368-News-and-Announcements
Bitforex,0.0,1.0,2018.0,2015.0,https://support.bitforex.com/hc/en-us/articles/360006989531-About-Bitforex,https://www.bloomberg.com/research//stocks/private/snapshot.asp?privcapId=574178615
Bitbay,0.0,1.0,2014.0,1999.0,https://en.bitcoin.it/wiki/BitBay,
Bit2C,0.0,1.0,2012.0,2017.0,https://in.linkedin.com/company/bit2c,https://coinmarketcap.com/currencies/bitcoin-cash/
Bilaxy,0.0,1.0,2018.0,2016.0,https://twitter.com/Bilaxy_exchange,https://www.tokenmeister.com/directory/exchanges/bilaxy
B2Bx,0.0,1.0,2018.0,2014.0,https://support.b2bx.exchange/en-us,https://www.crunchbase.com/organization/b2bx#section-overview
Uex,0.0,0.0,2016.0,2012.0,https://ca.linkedin.com/company/uex,https://www.google.com/search?authuser=0&ei=krErXKDoE7Ln_QaYtrEQ&q=when+did+uex+digital+currancy+was+founded&oq=when+did+uex+digital+currancy+was+founded&gs_l=psy-ab.3...192878.204514..205944...3.0..0.298.2243.8j11j1......0....1..gws-wiz.kn3IzGQJfKc
Trade-By-Trade,0.0,0.0,1964.0,2017.0,https://wfto.com/about-us/history-wfto/history-fair-trade,
Simex,0.0,0.0,1984.0,2015.0,https://en.wikipedia.org/wiki/Singapore_International_Monetary_Exchange,https://simex.global/en/faq/about
Ripple-China,0.0,0.0,2012.0,2003.0,https://en.wikipedia.org/wiki/Ripple_Labs,http://wg.iripplechina.com/
Oasisdex,0.0,0.0,2018.0,2017.0,https://medium.com/makerdao/announcing-oasis-direct-instantly-transfer-eth-for-mkr-dai-8cccec81688e,https://github.com/OasisDEX/oasis/wiki#network
Negocie-Coins,0.0,0.0,0.0,2013.0,http://www.negociecoins.com.br/,https://www.negociecoins.com.br/depoimentos
Fatbtc,0.0,0.0,2014.0,2017.0,http://affgadgets.com/fatbtc,https://twitter.com/fatbtc
Coinmex,0.0,0.0,2016.0,2018.0,https://coinmex.zendesk.com/hc/en-us/articles/360004643831,https://coinmex.zendesk.com/hc/en-us/articles/360004643831-About-CoinMex
Coinexchange,0.0,0.0,2013.0,2018.0,https://inc42.com/features/cryptocurrency-exchanges-ethereum-bitcoin-india/,https://www.coinexchange.io/about
Bx-Thailand,0.0,0.0,2014.0,2013.0,https://bx.in.th/,https://www.coingecko.com/en/exchanges/bx_thailand
Bits-Blockchain,0.0,0.0,2018.0,2017.0,https://www.coingecko.com/en/ico/datablockchain-io,https://coinclarity.com/exchange/bits-blockchain/
Altcoin-Trader,0.0,0.0,2015.0,2014.0,https://www.altcointrader.co.za/contact-us,https://twitter.com/AltCoinTraderSA
