urlName,url
Zaif,https://coinmarketcap.com/exchanges/zaif/
Tokenomy,https://coinmarketcap.com/exchanges/tokenomy/
Bancor-Network,https://coinmarketcap.com/exchanges/bancor-network/
Stex,https://coinmarketcap.com/exchanges/stex/
Bitkub,https://coinmarketcap.com/exchanges/bitkub/
Stellarport,https://coinmarketcap.com/exchanges/stellarport/
Stronghold,https://coinmarketcap.com/exchanges/stronghold/
Dsx,https://coinmarketcap.com/exchanges/dsx/
Acx,https://coinmarketcap.com/exchanges/acx/
Mercado-Bitcoin,https://coinmarketcap.com/exchanges/mercado-bitcoin/
Trade-Io,https://coinmarketcap.com/exchanges/trade-io/
Independent-Reserve,https://coinmarketcap.com/exchanges/independent-reserve/
Quadrigacx,https://coinmarketcap.com/exchanges/quadrigacx/
Cryptobridge,https://coinmarketcap.com/exchanges/cryptobridge/
Crex24,https://coinmarketcap.com/exchanges/crex24/
Stellar-Decentralized-Exchange,https://coinmarketcap.com/exchanges/stellar-decentralized-exchange/
Coinexchange,https://coinmarketcap.com/exchanges/coinexchange/
Bitibu,https://coinmarketcap.com/exchanges/bitibu/
Idex,https://coinmarketcap.com/exchanges/idex/
Coinfloor,https://coinmarketcap.com/exchanges/coinfloor/
Bytex,https://coinmarketcap.com/exchanges/bytex/
Kyber-Network,https://coinmarketcap.com/exchanges/kyber-network/
Litebit,https://coinmarketcap.com/exchanges/litebit/
Bitbns,https://coinmarketcap.com/exchanges/bitbns/
Ddex,https://coinmarketcap.com/exchanges/ddex/
Rfinex,https://coinmarketcap.com/exchanges/rfinex/
Bitonic,https://coinmarketcap.com/exchanges/bitonic/
Therocktrading,https://coinmarketcap.com/exchanges/therocktrading/
Coinmate,https://coinmarketcap.com/exchanges/coinmate/
Wazirx,https://coinmarketcap.com/exchanges/wazirx/
Escodex,https://coinmarketcap.com/exchanges/escodex/
Bitstamp-Ripple-Gateway,https://coinmarketcap.com/exchanges/bitstamp-ripple-gateway/
Kuna,https://coinmarketcap.com/exchanges/kuna/
Bitmarket,https://coinmarketcap.com/exchanges/bitmarket/
Altcoin-Trader,https://coinmarketcap.com/exchanges/altcoin-trader/
Koinex,https://coinmarketcap.com/exchanges/koinex/
Otcbtc,https://coinmarketcap.com/exchanges/otcbtc/
